id,value
RUSSEL,88.8342158793
RUSSEL,69.040503081
RUSSEL,18.1578778572
RUSSEL,59.2248588259
RUSSEL,52.3276535235
RUSSEL,42.3205841533
RUSSEL,24.0064237054
RUSSEL,88.8153704308
RUSSEL,3.43642262093
RUSSEL,27.3499233944
RUSSEL,9.18625368502
RUSSEL,72.3098976223
RUSSEL,67.4530139763
RUSSEL,12.8775261526
RUSSEL,47.0000189691
RUSSEL,23.7629278558
RUSSEL,75.6216501169
RUSSEL,79.0338410509
RUSSEL,70.7985612816
RUSSEL,12.3020021756
RUSSEL,68.5855284043
RUSSEL,52.7089470389
RUSSEL,9.5493091964
RUSSEL,40.2536071681
RUSSEL,21.3721497275
RUSSEL,99.0684922955
RUSSEL,50.911499624
RUSSEL,10.516029524
RUSSEL,84.810630648
RUSSEL,95.8169081796
RUSSEL,43.5250681516
RUSSEL,47.6899945016
RUSSEL,35.7318442429
RUSSEL,98.5911111234
RUSSEL,93.9551553288
RUSSEL,68.687080297
RUSSEL,19.0426730992
RUSSEL,81.8791983367
RUSSEL,13.8553943892
RUSSEL,30.8154548426
RUSSEL,32.9921769761
RUSSEL,76.9287936267
RUSSEL,13.8101948213
RUSSEL,42.7705595903
RUSSEL,30.9640289071
RUSSEL,24.0517642012
RUSSEL,21.1618887338
RUSSEL,16.8127380296
RUSSEL,59.5883347007
RUSSEL,37.5393242709
RUSSEL,44.9742251296
RUSSEL,53.5916631067
TINIE,40.7674083603
RUSSEL,24.9135996817
TINIE,40.7674083603
RUSSEL,27.4100337153
TINIE,40.7674083603
RUSSEL,60.1839600702
TINIE,40.7674083603
RUSSEL,26.248048474
TINIE,40.7674083603
RUSSEL,55.7091327486
TINIE,40.7674083603
RUSSEL,72.6988720386
TINIE,40.7674083603
RUSSEL,42.5133864969
TINIE,40.7674083603
RUSSEL,12.5086905667
TINIE,40.7674083603
RUSSEL,54.5273643382
TINIE,40.7674083603
RUSSEL,88.8938979048
TINIE,40.7674083603
RUSSEL,75.7152863883
TINIE,40.7674083603
RUSSEL,81.6443180973
TINIE,40.7674083603
RUSSEL,41.3547099832
TINIE,40.7674083603
RUSSEL,25.3014197832
TINIE,40.7674083603
RUSSEL,0.795354066497
TINIE,40.7674083603
RUSSEL,84.7686641532
TINIE,40.7674083603
RUSSEL,51.0375646267
TINIE,40.7674083603
RUSSEL,96.0568931602
TINIE,40.7674083603
RUSSEL,75.4308008379
TINIE,40.7674083603
RUSSEL,83.4119124531
TINIE,40.7674083603
RUSSEL,88.2825786132
TINIE,40.7674083603
RUSSEL,68.7726543601
TINIE,40.7674083603
RUSSEL,26.0474451783
TINIE,40.7674083603
RUSSEL,80.1710637537
TINIE,40.7674083603
RUSSEL,97.9042323564
TINIE,40.7674083603
RUSSEL,38.5253580912
TINIE,40.7674083603
RUSSEL,31.4998539656
TINIE,40.7674083603
RUSSEL,5.00647089049
TINIE,40.7674083603
RUSSEL,2.05555914396
TINIE,40.7674083603
RUSSEL,36.9293669451
TINIE,40.7674083603
RUSSEL,11.6884645308
TINIE,40.7674083603
RUSSEL,32.6055016914
TINIE,40.7674083603
HWANG,91.2767012843
RUSSEL,1.61173629985
TINIE,40.7674083603
HWANG,88.313135152
RUSSEL,55.1342576255
TINIE,40.7674083603
HWANG,12.429187428
RUSSEL,40.6733005721
TINIE,40.7674083603
HWANG,15.8899267586
RUSSEL,29.235757257
TINIE,40.7674083603
HWANG,90.0064149123
RUSSEL,60.9649706189
TINIE,40.7674083603
HWANG,68.3909190101
RUSSEL,70.4385654503
TINIE,40.7674083603
HWANG,49.6819228224
RUSSEL,76.4388237119
TINIE,40.7674083603
HWANG,84.1446273171
RUSSEL,89.369183176
TINIE,40.7674083603
HWANG,24.6973959884
RUSSEL,47.8435372404
TINIE,40.7674083603
HWANG,60.4532007911
RUSSEL,86.3399512252
TINIE,40.7674083603
HWANG,11.9041980213
RUSSEL,33.6011625576
TINIE,40.7674083603
HWANG,88.849505508
RUSSEL,3.07548827021
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,0.710713717033
YANG,70.692092918
RUSSEL,21.2858725253
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,39.8379285583
YANG,69.3177774327
RUSSEL,17.8091881808
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,17.4252604395
YANG,17.3115603642
RUSSEL,21.02528021
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,97.6854537999
YANG,43.2548483416
RUSSEL,60.3530106976
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,67.8937572472
YANG,26.4340959776
RUSSEL,57.201657303
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,72.5098801644
YANG,91.1800978292
RUSSEL,35.996557281
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,95.3995342581
YANG,78.9758386977
RUSSEL,95.7052627195
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,47.0313956781
YANG,86.1731432709
RUSSEL,57.4828700034
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,7.14252422989
YANG,18.2948005242
RUSSEL,94.8196018339
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,87.0492275328
YANG,39.6394859736
RUSSEL,8.60834127234
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,64.761062082
YANG,95.5298878192
RUSSEL,79.2390698802
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,52.6725637949
YANG,69.6568358708
RUSSEL,22.2964921855
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,60.2781355275
YANG,1.19912772906
RUSSEL,37.035238292
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,20.7033232655
YANG,42.9758259992
RUSSEL,86.851283468
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,54.822375009
YANG,57.479741699
RUSSEL,92.9211721097
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,11.6439976557
YANG,5.23398935935
RUSSEL,53.3468260104
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,49.0374963741
YANG,5.33739981299
RUSSEL,21.8487274685
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,77.3086853282
YANG,4.24539839884
RUSSEL,5.50079841397
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,85.6203082267
YANG,29.9949762488
RUSSEL,37.9178279887
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,59.8443395605
YANG,29.8094918238
RUSSEL,70.4238008923
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,26.4664483488
YANG,87.316036565
RUSSEL,81.3802426384
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,66.8288810454
YANG,17.5472718975
RUSSEL,8.81151059913
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,56.7912053479
YANG,13.5891838568
RUSSEL,52.3315196469
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,76.2261574024
YANG,93.1716971243
RUSSEL,16.3401081806
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,42.7816986083
YANG,91.3647905111
RUSSEL,4.15699780329
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,34.2174989655
YANG,34.0190400506
RUSSEL,56.4843714177
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,46.152540084
YANG,44.5279194073
RUSSEL,17.5354799226
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,26.5178735062
YANG,83.0611376663
RUSSEL,19.7771935644
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,76.5801652537
YANG,51.7521407273
RUSSEL,46.4775823059
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,56.0617530388
YANG,5.86349203936
RUSSEL,71.4534129626
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,17.0136968232
YANG,59.5743269514
RUSSEL,74.9434548996
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,93.0014449628
YANG,50.6108873649
RUSSEL,20.076685694
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,3.18771940204
YANG,21.9209913504
RUSSEL,87.4045073185
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,27.5136733915
YANG,30.0108740708
RUSSEL,56.8182815415
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,16.425424033
YANG,20.9024238563
RUSSEL,10.619922515
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,15.5209891478
YANG,1.16910767177
RUSSEL,32.2703876618
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,23.6798929226
YANG,23.7990514609
RUSSEL,11.8593677365
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,83.6721394186
YANG,1.21463760217
RUSSEL,59.9952545029
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,14.5099143974
YANG,65.237175965
RUSSEL,26.8095177489
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,94.0197422073
YANG,55.8663742224
RUSSEL,0.334894277191
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,21.8549401519
YANG,17.4990897661
RUSSEL,59.8950916057
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,74.7274545757
YANG,6.87891788669
RUSSEL,91.3691041441
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,64.9615527603
YANG,94.9185636323
RUSSEL,36.8539691646
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,25.4466547367
YANG,68.9541639982
RUSSEL,81.9911371766
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,66.617762718
YANG,70.55125279
RUSSEL,69.9288921812
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,12.6687265447
YANG,53.2718405654
RUSSEL,59.0808149194
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,76.2380840309
YANG,41.9053951437
RUSSEL,19.3882293297
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,19.3496353465
YANG,13.0328207512
RUSSEL,23.2707664597
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,73.4062432085
YANG,83.0570742728
RUSSEL,57.2607926551
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,34.1242867287
YANG,39.3281065132
RUSSEL,88.5327285268
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,92.0022551422
YANG,87.848756027
RUSSEL,74.6345573088
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,55.1796817117
YANG,14.3538676611
RUSSEL,55.690778814
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,3.21570367457
YANG,11.8616070477
RUSSEL,45.0111774524
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,3.05238740676
YANG,14.8718394293
RUSSEL,95.984263819
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,38.6769882035
YANG,7.56611751511
RUSSEL,93.7759745926
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,29.8383640102
YANG,53.3965166826
RUSSEL,23.45725015
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,17.0123673463
YANG,64.2683406288
RUSSEL,47.5122118407
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
HWANG,82.0511855292
YANG,46.3106729388
RUSSEL,28.3293881895
TINIE,40.7674083603
HAILEMARIAM,89.4207954142
GETACHEW,57.3162242013
HAILEMARIAM,89.4207954142
RUSSEL,28.374747736
TINIE,40.7674083603
YANG,40.6018378554
HWANG,10.834836495
GETACHEW,57.3162242013
HAILEMARIAM,89.4207954142
RUSSEL,62.2747945827
TINIE,40.7674083603
YANG,11.8590741272
